[A] device=cuda seed=42 params=411,357 train=720 val=80
/root/autodl-tmp/test_model/irstd_a/model.py:137: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  F.conv2d(
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[A] epoch 41/150 loss=-2.33131 presence=0.1619 amplitude=1.1497 sparse=0.9372 val_score=0.11679 best=0.11679 centroid=1.000 falseS=0.010 massX=1.167 outsideT=0.008 recall=1.058 precision=0.994 bad=0 lr=1.69e-04 peak_mb=7362 elapsed=1563.8s
[A] epoch 42/150 loss=-2.41089 presence=0.1364 amplitude=1.1132 sparse=0.9208 val_score=0.19980 best=0.11679 centroid=1.000 falseS=0.024 massX=1.155 outsideT=0.026 recall=0.949 precision=0.978 bad=1 lr=1.67e-04 peak_mb=7362 elapsed=1601.7s
[A] epoch 43/150 loss=-2.37757 presence=0.1511 amplitude=1.1222 sparse=0.9012 val_score=0.12081 best=0.11679 centroid=1.000 falseS=0.009 massX=1.224 outsideT=0.010 recall=1.071 precision=0.991 bad=2 lr=1.65e-04 peak_mb=7362 elapsed=1639.3s
[A] epoch 44/150 loss=-2.43273 presence=0.1537 amplitude=1.1209 sparse=0.9295 val_score=0.15193 best=0.11679 centroid=1.000 falseS=0.007 massX=1.053 outsideT=0.007 recall=1.038 precision=0.993 bad=3 lr=1.64e-04 peak_mb=7362 elapsed=1678.0s
[A] epoch 45/150 loss=-2.54330 presence=0.1213 amplitude=1.1032 sparse=0.9225 val_score=0.09923 best=0.09923 centroid=1.000 falseS=0.019 massX=1.040 outsideT=0.013 recall=0.933 precision=0.983 bad=0 lr=1.62e-04 peak_mb=7362 elapsed=1715.4s
[A] epoch 46/150 loss=-2.46070 presence=0.1374 amplitude=1.0953 sparse=0.9101 val_score=0.19821 best=0.09923 centroid=1.000 falseS=0.009 massX=1.322 outsideT=0.011 recall=1.243 precision=0.990 bad=1 lr=1.60e-04 peak_mb=7362 elapsed=1752.6s
[A] epoch 47/150 loss=-2.57986 presence=0.1572 amplitude=1.1198 sparse=0.9141 val_score=0.13306 best=0.09923 centroid=1.000 falseS=0.010 massX=1.308 outsideT=0.011 recall=1.153 precision=0.991 bad=2 lr=1.59e-04 peak_mb=7362 elapsed=1789.8s
[A] epoch 48/150 loss=-2.43688 presence=0.1541 amplitude=1.1160 sparse=0.9070 val_score=0.20280 best=0.09923 centroid=1.000 falseS=0.004 massX=1.023 outsideT=0.004 recall=1.023 precision=0.996 bad=3 lr=1.57e-04 peak_mb=7362 elapsed=1826.9s
[A] epoch 49/150 loss=-2.51472 presence=0.1718 amplitude=1.1148 sparse=0.9217 val_score=0.13211 best=0.09923 centroid=1.000 falseS=0.012 massX=1.079 outsideT=0.011 recall=1.023 precision=0.989 bad=4 lr=1.55e-04 peak_mb=7362 elapsed=1864.6s
[A] epoch 50/150 loss=-2.49133 presence=0.1630 amplitude=1.0824 sparse=0.8938 val_score=0.16613 best=0.09923 centroid=1.000 falseS=0.013 massX=1.423 outsideT=0.016 recall=1.208 precision=0.987 bad=5 lr=1.53e-04 peak_mb=7362 elapsed=1902.2s
